,XG,XA,XGI,XG90,XA90,XGI90
2042,0.14051557594783867,0.4830317643650037,0.6235473403128424,0.14051557594783867,0.48303176436500367,0.6235473403128424
2043,0.2486396680863563,0.0,0.2486396680863563,0.2486396680863563,0.0,0.2486396680863563
2044,0.06931818181818182,0.0,0.06931818181818182,0.06931818181818182,0.0,0.06931818181818182
2045,0.0,0.0,0.0,0.0,0.0,0.0
2046,0.0,0.06931818181818182,0.06931818181818182,0.0,0.09747869318181819,0.09747869318181819
2047,0.4258064516129032,0.0,0.4258064516129032,0.4258064516129032,0.0,0.4258064516129032
2048,0.1564339781328848,0.0,0.1564339781328848,0.1564339781328848,0.0,0.1564339781328848
2049,0.0,0.0,0.0,0.0,0.0,0.0
2050,0.0,0.07759562841530054,0.07759562841530054,0.0,0.07759562841530054,0.07759562841530054
2051,0.42610364683301344,0.0,0.42610364683301344,0.46767473432891715,0.0,0.46767473432891715
2052,0.0,0.42610364683301344,0.42610364683301344,0.0,0.42610364683301344,0.42610364683301344
2053,0.0,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655
2054,0.22611464968152867,0.0,0.22611464968152867,0.32823094308609,0.0,0.32823094308609
2055,0.0,0.0,0.0,0.0,0.0,0.0
2056,0.0,0.42610364683301344,0.42610364683301344,0.0,0.42610364683301344,0.42610364683301344
2057,0.0,0.2486396680863563,0.2486396680863563,0.0,0.2486396680863563,0.2486396680863563
2058,0.0,0.12195121951219512,0.12195121951219512,0.0,0.13223626212165734,0.13223626212165734
2059,0.4954218286511953,0.034482758620689655,0.5299045872718849,0.4954218286511953,0.034482758620689655,0.5299045872718849
2060,0.018564356435643563,0.0,0.018564356435643563,0.018564356435643563,0.0,0.018564356435643563
2061,0.3705908875985514,0.8522072936660269,1.2227981812645783,0.3705908875985514,0.8522072936660269,1.2227981812645783
2062,1.0315287799342014,0.0,1.0315287799342014,1.2717478108777827,0.0,1.2717478108777827
2063,0.0,0.0,0.0,0.0,0.0,0.0
2064,0.630571743071743,0.0,0.630571743071743,0.630571743071743,0.0,0.630571743071743
2065,0.018564356435643563,0.06931818181818182,0.08788253825382539,0.018564356435643563,0.06931818181818182,0.08788253825382539
2066,0.0,0.17932148626817448,0.17932148626817448,0.0,0.17932148626817448,0.17932148626817448
2067,0.7213477545771212,0.034482758620689655,0.7558305131978108,0.7213477545771212,0.034482758620689655,0.7558305131978108
2068,0.0,0.22592592592592592,0.22592592592592592,0.0,0.22592592592592592,0.22592592592592592
2069,0.034482758620689655,0.1120783870359902,0.14656114565667985,0.034482758620689655,0.11207838703599018,0.14656114565667985
